날짜,요일,품목,구분,단위,발주,기초재고,수요,실판매,결품,폐기,기말재고,폐기_kg,탄소_kgCO2e,폐기_비용_원
2021-01-04,월,에스프레소 원두,원재료,g,11700,0,1548,1548,0,0,10152,0.0,0.0,0.0
2021-01-04,월,우유,원재료,mL,30800,12120,11140,11140,0,0,31780,0.0,0.0,0.0
2021-01-04,월,휘핑크림,원재료,g,400,100,140,140,0,0,360,0.0,0.0,0.0
2021-01-05,화,치킨 토마토 치즈 샌드위치,완제품,개,32,0,15,15,0,17,0,3.825,23.3325,51000.0
2021-01-05,화,단호박 에그 샌드위치,완제품,개,24,0,12,12,0,12,0,2.28,7.068,33600.0
2021-01-05,화,크루아상,완제품,개,44,0,20,20,0,24,0,1.44,7.0272,36000.0
2021-01-05,화,뉴욕 치즈 케이크,완제품,개,0,17,8,8,0,0,9,0.0,0.0,0.0
2021-01-05,화,그린티 파우더,원재료,g,0,880,220,220,0,0,660,0.0,0.0,0.0
2021-01-05,화,모카/초콜릿 소스,원재료,mL,0,0,420,0,420,0,0,0.0,0.0,0.0
2021-01-05,화,에스프레소 원두,원재료,g,0,10152,1620,1620,0,0,8532,0.0,0.0,0.0
2021-01-05,화,우유,원재료,mL,0,31780,11740,11740,0,0,20040,0.0,0.0,0.0
2021-01-05,화,휘핑크림,원재료,g,0,360,140,140,0,0,220,0.0,0.0,0.0
2021-01-06,수,치킨 토마토 치즈 샌드위치,완제품,개,32,0,14,14,0,18,0,4.05,24.705,54000.0
2021-01-06,수,단호박 에그 샌드위치,완제품,개,24,0,11,11,0,13,0,2.47,7.657,36400.0
2021-01-06,수,크루아상,완제품,개,44,0,20,20,0,24,0,1.44,7.0272,36000.0
2021-01-06,수,뉴욕 치즈 케이크,완제품,개,15,9,7,7,0,2,15,0.2,2.56,7000.0
2021-01-06,수,그린티 파우더,원재료,g,0,660,200,200,0,0,460,0.0,0.0,0.0
2021-01-06,수,모카/초콜릿 소스,원재료,mL,0,0,420,0,420,0,0,0.0,0.0,0.0
2021-01-06,수,에스프레소 원두,원재료,g,0,8532,1458,1458,0,0,7074,0.0,0.0,0.0
2021-01-06,수,우유,원재료,mL,22900,20040,10720,10720,0,0,32220,0.0,0.0,0.0
2021-01-06,수,휘핑크림,원재료,g,300,220,140,140,0,80,300,0.08,0.4896,560.0
2021-01-07,목,치킨 토마토 치즈 샌드위치,완제품,개,32,0,15,15,0,17,0,3.825,23.3325,51000.0
2021-01-07,목,단호박 에그 샌드위치,완제품,개,24,0,12,12,0,12,0,2.28,7.068,33600.0
2021-01-07,목,크루아상,완제품,개,44,0,22,22,0,22,0,1.32,6.4416,33000.0
2021-01-07,목,뉴욕 치즈 케이크,완제품,개,0,15,7,7,0,0,8,0.0,0.0,0.0
2021-01-07,목,그린티 파우더,원재료,g,0,460,240,240,0,0,220,0.0,0.0,0.0
2021-01-07,목,모카/초콜릿 소스,원재료,mL,4900,0,450,450,0,0,4450,0.0,0.0,0.0
2021-01-07,목,에스프레소 원두,원재료,g,0,7074,1620,1620,0,0,5454,0.0,0.0,0.0
2021-01-07,목,우유,원재료,mL,0,32220,12140,12140,0,0,20080,0.0,0.0,0.0
2021-01-07,목,휘핑크림,원재료,g,0,300,150,150,0,0,150,0.0,0.0,0.0
2021-01-08,금,치킨 토마토 치즈 샌드위치,완제품,개,32,0,17,17,0,15,0,3.375,20.5875,45000.0
2021-01-08,금,단호박 에그 샌드위치,완제품,개,24,0,12,12,0,12,0,2.28,7.068,33600.0
2021-01-08,금,크루아상,완제품,개,44,0,23,23,0,21,0,1.26,6.1488,31500.0
2021-01-08,금,뉴욕 치즈 케이크,완제품,개,16,8,8,8,0,0,16,0.0,0.0,0.0
2021-01-08,금,그린티 파우더,원재료,g,0,220,240,220,20,0,0,0.0,0.0,0.0
2021-01-08,금,모카/초콜릿 소스,원재료,mL,0,4450,480,480,0,0,3970,0.0,0.0,0.0
2021-01-08,금,에스프레소 원두,원재료,g,6200,5454,1764,1764,0,0,9890,0.0,0.0,0.0
2021-01-08,금,우유,원재료,mL,22900,20080,12320,12320,0,0,30660,0.0,0.0,0.0
2021-01-08,금,휘핑크림,원재료,g,400,150,160,160,0,0,390,0.0,0.0,0.0
2021-01-09,토,치킨 토마토 치즈 샌드위치,완제품,개,24,0,21,21,0,3,0,0.675,4.1175,9000.0
2021-01-09,토,단호박 에그 샌드위치,완제품,개,18,0,15,15,0,3,0,0.57,1.767,8400.0
2021-01-09,토,크루아상,완제품,개,28,0,28,28,0,0,0,0.0,0.0,0.0
2021-01-09,토,뉴욕 치즈 케이크,완제품,개,0,16,11,11,0,0,5,0.0,0.0,0.0
2021-01-09,토,그린티 파우더,원재료,g,0,0,300,0,300,0,0,0.0,0.0,0.0
2021-01-09,토,모카/초콜릿 소스,원재료,mL,0,3970,630,630,0,0,3340,0.0,0.0,0.0
2021-01-09,토,에스프레소 원두,원재료,g,0,9890,2214,2214,0,0,7676,0.0,0.0,0.0
2021-01-09,토,우유,원재료,mL,0,30660,16080,16080,0,0,14580,0.0,0.0,0.0
2021-01-09,토,휘핑크림,원재료,g,0,390,210,210,0,0,180,0.0,0.0,0.0
2021-01-10,일,치킨 토마토 치즈 샌드위치,완제품,개,32,0,20,20,0,12,0,2.7,16.47,36000.0
2021-01-10,일,단호박 에그 샌드위치,완제품,개,24,0,15,15,0,9,0,1.71,5.301,25200.0
2021-01-10,일,크루아상,완제품,개,44,0,28,28,0,16,0,0.96,4.6848,24000.0
2021-01-10,일,뉴욕 치즈 케이크,완제품,개,19,5,9,9,0,0,15,0.0,0.0,0.0
2021-01-10,일,그린티 파우더,원재료,g,0,0,300,0,300,0,0,0.0,0.0,0.0
2021-01-10,일,모카/초콜릿 소스,원재료,mL,0,3340,600,600,0,0,2740,0.0,0.0,0.0
2021-01-10,일,에스프레소 원두,원재료,g,0,7676,2070,2070,0,0,5606,0.0,0.0,0.0
2021-01-10,일,우유,원재료,mL,28400,14580,15100,15100,0,0,27880,0.0,0.0,0.0
2021-01-10,일,휘핑크림,원재료,g,400,180,200,200,0,0,380,0.0,0.0,0.0
2021-01-11,월,치킨 토마토 치즈 샌드위치,완제품,개,32,0,16,16,0,16,0,3.6,21.96,48000.0
2021-01-11,월,단호박 에그 샌드위치,완제품,개,24,0,11,11,0,13,0,2.47,7.657,36400.0
2021-01-11,월,크루아상,완제품,개,44,0,21,21,0,23,0,1.38,6.7344,34500.0
2021-01-11,월,뉴욕 치즈 케이크,완제품,개,0,15,8,8,0,0,7,0.0,0.0,0.0
2021-01-11,월,그린티 파우더,원재료,g,0,0,220,0,220,0,0,0.0,0.0,0.0
2021-01-11,월,모카/초콜릿 소스,원재료,mL,0,2740,420,420,0,0,2320,0.0,0.0,0.0
2021-01-11,월,에스프레소 원두,원재료,g,0,5606,1530,1530,0,0,4076,0.0,0.0,0.0
2021-01-11,월,우유,원재료,mL,0,27880,10940,10940,0,0,16940,0.0,0.0,0.0
2021-01-11,월,휘핑크림,원재료,g,0,380,140,140,0,0,240,0.0,0.0,0.0
2021-01-12,화,치킨 토마토 치즈 샌드위치,완제품,개,32,0,16,16,0,16,0,3.6,21.96,48000.0
2021-01-12,화,단호박 에그 샌드위치,완제품,개,24,0,12,12,0,12,0,2.28,7.068,33600.0
2021-01-12,화,크루아상,완제품,개,44,0,22,22,0,22,0,1.32,6.4416,33000.0
2021-01-12,화,뉴욕 치즈 케이크,완제품,개,17,7,8,8,0,0,16,0.0,0.0,0.0
2021-01-12,화,그린티 파우더,원재료,g,0,0,220,0,220,0,0,0.0,0.0,0.0
2021-01-12,화,모카/초콜릿 소스,원재료,mL,0,2320,420,420,0,0,1900,0.0,0.0,0.0
2021-01-12,화,에스프레소 원두,원재료,g,7600,4076,1602,1602,0,0,10074,0.0,0.0,0.0
2021-01-12,화,우유,원재료,mL,26000,16940,11540,11540,0,0,31400,0.0,0.0,0.0
2021-01-12,화,휘핑크림,원재료,g,300,240,140,140,0,100,300,0.1,0.612,700.0
2021-01-13,수,치킨 토마토 치즈 샌드위치,완제품,개,32,0,12,12,0,20,0,4.5,27.45,60000.0
2021-01-13,수,단호박 에그 샌드위치,완제품,개,24,0,8,8,0,16,0,3.04,9.424,44800.0
2021-01-13,수,크루아상,완제품,개,44,0,16,16,0,28,0,1.68,8.1984,42000.0
2021-01-13,수,뉴욕 치즈 케이크,완제품,개,0,16,6,6,0,0,10,0.0,0.0,0.0
2021-01-13,수,그린티 파우더,원재료,g,0,0,160,0,160,0,0,0.0,0.0,0.0
2021-01-13,수,모카/초콜릿 소스,원재료,mL,0,1900,330,330,0,0,1570,0.0,0.0,0.0
2021-01-13,수,에스프레소 원두,원재료,g,0,10074,1206,1206,0,0,8868,0.0,0.0,0.0
2021-01-13,수,우유,원재료,mL,0,31400,8540,8540,0,0,22860,0.0,0.0,0.0
2021-01-13,수,휘핑크림,원재료,g,0,300,110,110,0,0,190,0.0,0.0,0.0
2021-01-14,목,치킨 토마토 치즈 샌드위치,완제품,개,32,0,16,16,0,16,0,3.6,21.96,48000.0
2021-01-14,목,단호박 에그 샌드위치,완제품,개,24,0,11,11,0,13,0,2.47,7.657,36400.0
2021-01-14,목,크루아상,완제품,개,44,0,21,21,0,23,0,1.38,6.7344,34500.0
2021-01-14,목,뉴욕 치즈 케이크,완제품,개,14,10,7,7,0,3,14,0.3,3.84,10500.0
2021-01-14,목,그린티 파우더,원재료,g,4500,0,220,220,0,0,4280,0.0,0.0,0.0
2021-01-14,목,모카/초콜릿 소스,원재료,mL,3300,1570,450,450,0,0,4420,0.0,0.0,0.0
2021-01-14,목,에스프레소 원두,원재료,g,0,8868,1584,1584,0,0,7284,0.0,0.0,0.0
2021-01-14,목,우유,원재료,mL,20100,22860,11520,11520,0,0,31440,0.0,0.0,0.0
2021-01-14,목,휘핑크림,원재료,g,400,190,150,150,0,40,400,0.04,0.2448,280.0
2021-01-15,금,치킨 토마토 치즈 샌드위치,완제품,개,32,0,17,17,0,15,0,3.375,20.5875,45000.0
2021-01-15,금,단호박 에그 샌드위치,완제품,개,24,0,12,12,0,12,0,2.28,7.068,33600.0
2021-01-15,금,크루아상,완제품,개,44,0,25,25,0,19,0,1.14,5.5632,28500.0
2021-01-15,금,뉴욕 치즈 케이크,완제품,개,0,14,8,8,0,0,6,0.0,0.0,0.0
2021-01-15,금,그린티 파우더,원재료,g,0,4280,260,260,0,0,4020,0.0,0.0,0.0
2021-01-15,금,모카/초콜릿 소스,원재료,mL,0,4420,510,510,0,0,3910,0.0,0.0,0.0
2021-01-15,금,에스프레소 원두,원재료,g,0,7284,1764,1764,0,0,5520,0.0,0.0,0.0
2021-01-15,금,우유,원재료,mL,0,31440,13320,13320,0,0,18120,0.0,0.0,0.0
2021-01-15,금,휘핑크림,원재료,g,0,400,170,170,0,0,230,0.0,0.0,0.0
2021-01-16,토,치킨 토마토 치즈 샌드위치,완제품,개,23,0,20,20,0,3,0,0.675,4.1175,9000.0
2021-01-16,토,단호박 에그 샌드위치,완제품,개,14,0,15,14,1,0,0,0.0,0.0,0.0
2021-01-16,토,크루아상,완제품,개,29,0,26,26,0,3,0,0.18,0.8784,4500.0
2021-01-16,토,뉴욕 치즈 케이크,완제품,개,12,6,10,10,0,0,8,0.0,0.0,0.0
2021-01-16,토,그린티 파우더,원재료,g,0,4020,280,280,0,0,3740,0.0,0.0,0.0
2021-01-16,토,모카/초콜릿 소스,원재료,mL,0,3910,570,570,0,0,3340,0.0,0.0,0.0
2021-01-16,토,에스프레소 원두,원재료,g,6100,5520,2178,2178,0,0,9442,0.0,0.0,0.0
2021-01-16,토,우유,원재료,mL,24800,18120,15700,15700,0,0,27220,0.0,0.0,0.0
2021-01-16,토,휘핑크림,원재료,g,300,230,190,190,0,40,300,0.04,0.2448,280.0
2021-01-17,일,치킨 토마토 치즈 샌드위치,완제품,개,23,0,19,19,0,4,0,0.9,5.49,12000.0
2021-01-17,일,단호박 에그 샌드위치,완제품,개,17,0,14,14,0,3,0,0.57,1.767,8400.0
2021-01-17,일,크루아상,완제품,개,31,0,25,25,0,6,0,0.36,1.7568,9000.0
2021-01-17,일,뉴욕 치즈 케이크,완제품,개,0,8,10,8,2,0,0,0.0,0.0,0.0
2021-01-17,일,그린티 파우더,원재료,g,0,3740,280,280,0,0,3460,0.0,0.0,0.0
2021-01-17,일,모카/초콜릿 소스,원재료,mL,0,3340,570,570,0,0,2770,0.0,0.0,0.0
2021-01-17,일,에스프레소 원두,원재료,g,0,9442,1926,1926,0,0,7516,0.0,0.0,0.0
2021-01-17,일,우유,원재료,mL,0,27220,14300,14300,0,0,12920,0.0,0.0,0.0
2021-01-17,일,휘핑크림,원재료,g,0,300,190,190,0,0,110,0.0,0.0,0.0
2021-01-18,월,치킨 토마토 치즈 샌드위치,완제품,개,32,0,15,15,0,17,0,3.825,23.3325,51000.0
2021-01-18,월,단호박 에그 샌드위치,완제품,개,24,0,12,12,0,12,0,2.28,7.068,33600.0
2021-01-18,월,크루아상,완제품,개,44,0,22,22,0,22,0,1.32,6.4416,33000.0
2021-01-18,월,뉴욕 치즈 케이크,완제품,개,24,0,8,8,0,0,16,0.0,0.0,0.0
2021-01-18,월,그린티 파우더,원재료,g,0,3460,220,220,0,0,3240,0.0,0.0,0.0
2021-01-18,월,모카/초콜릿 소스,원재료,mL,0,2770,420,420,0,0,2350,0.0,0.0,0.0
2021-01-18,월,에스프레소 원두,원재료,g,0,7516,1602,1602,0,0,5914,0.0,0.0,0.0
2021-01-18,월,우유,원재료,mL,30000,12920,11740,11740,0,0,31180,0.0,0.0,0.0
2021-01-18,월,휘핑크림,원재료,g,400,110,140,140,0,0,370,0.0,0.0,0.0
2021-01-19,화,치킨 토마토 치즈 샌드위치,완제품,개,32,0,17,17,0,15,0,3.375,20.5875,45000.0
2021-01-19,화,단호박 에그 샌드위치,완제품,개,24,0,12,12,0,12,0,2.28,7.068,33600.0
2021-01-19,화,크루아상,완제품,개,44,0,21,21,0,23,0,1.38,6.7344,34500.0
2021-01-19,화,뉴욕 치즈 케이크,완제품,개,0,16,8,8,0,0,8,0.0,0.0,0.0
2021-01-19,화,그린티 파우더,원재료,g,0,3240,240,240,0,0,3000,0.0,0.0,0.0
2021-01-19,화,모카/초콜릿 소스,원재료,mL,0,2350,450,450,0,0,1900,0.0,0.0,0.0
2021-01-19,화,에스프레소 원두,원재료,g,0,5914,1620,1620,0,0,4294,0.0,0.0,0.0
2021-01-19,화,우유,원재료,mL,0,31180,11740,11740,0,0,19440,0.0,0.0,0.0
2021-01-19,화,휘핑크림,원재료,g,0,370,150,150,0,0,220,0.0,0.0,0.0
2021-01-20,수,치킨 토마토 치즈 샌드위치,완제품,개,32,0,14,14,0,18,0,4.05,24.705,54000.0
2021-01-20,수,단호박 에그 샌드위치,완제품,개,24,0,10,10,0,14,0,2.66,8.246,39200.0
2021-01-20,수,크루아상,완제품,개,44,0,19,19,0,25,0,1.5,7.32,37500.0
2021-01-20,수,뉴욕 치즈 케이크,완제품,개,16,8,8,8,0,0,16,0.0,0.0,0.0
2021-01-20,수,그린티 파우더,원재료,g,0,3000,220,220,0,0,2780,0.0,0.0,0.0
2021-01-20,수,모카/초콜릿 소스,원재료,mL,0,1900,420,420,0,0,1480,0.0,0.0,0.0
2021-01-20,수,에스프레소 원두,원재료,g,7400,4294,1458,1458,0,0,10236,0.0,0.0,0.0
2021-01-20,수,우유,원재료,mL,23500,19440,10740,10740,0,0,32200,0.0,0.0,0.0
2021-01-20,수,휘핑크림,원재료,g,300,220,140,140,0,80,300,0.08,0.4896,560.0
2021-01-21,목,치킨 토마토 치즈 샌드위치,완제품,개,32,0,16,16,0,16,0,3.6,21.96,48000.0
2021-01-21,목,단호박 에그 샌드위치,완제품,개,24,0,11,11,0,13,0,2.47,7.657,36400.0
2021-01-21,목,크루아상,완제품,개,44,0,20,20,0,24,0,1.44,7.0272,36000.0
2021-01-21,목,뉴욕 치즈 케이크,완제품,개,0,16,7,7,0,0,9,0.0,0.0,0.0
2021-01-21,목,그린티 파우더,원재료,g,0,2780,220,220,0,0,2560,0.0,0.0,0.0
2021-01-21,목,모카/초콜릿 소스,원재료,mL,3400,1480,480,480,0,0,4400,0.0,0.0,0.0
2021-01-21,목,에스프레소 원두,원재료,g,0,10236,1602,1602,0,0,8634,0.0,0.0,0.0
2021-01-21,목,우유,원재료,mL,0,32200,12100,12100,0,0,20100,0.0,0.0,0.0
2021-01-21,목,휘핑크림,원재료,g,0,300,160,160,0,0,140,0.0,0.0,0.0
2021-01-22,금,치킨 토마토 치즈 샌드위치,완제품,개,32,0,15,15,0,17,0,3.825,23.3325,51000.0
2021-01-22,금,단호박 에그 샌드위치,완제품,개,24,0,13,13,0,11,0,2.09,6.479,30800.0
2021-01-22,금,크루아상,완제품,개,44,0,22,22,0,22,0,1.32,6.4416,33000.0
2021-01-22,금,뉴욕 치즈 케이크,완제품,개,15,9,8,8,0,1,15,0.1,1.28,3500.0
2021-01-22,금,그린티 파우더,원재료,g,0,2560,260,260,0,0,2300,0.0,0.0,0.0
2021-01-22,금,모카/초콜릿 소스,원재료,mL,0,4400,480,480,0,0,3920,0.0,0.0,0.0
2021-01-22,금,에스프레소 원두,원재료,g,0,8634,1638,1638,0,0,6996,0.0,0.0,0.0
2021-01-22,금,우유,원재료,mL,22900,20100,12540,12540,0,0,30460,0.0,0.0,0.0
2021-01-22,금,휘핑크림,원재료,g,400,140,160,160,0,0,380,0.0,0.0,0.0
2021-01-23,토,치킨 토마토 치즈 샌드위치,완제품,개,32,0,21,21,0,11,0,2.475,15.0975,33000.0
2021-01-23,토,단호박 에그 샌드위치,완제품,개,24,0,17,17,0,7,0,1.33,4.123,19600.0
2021-01-23,토,크루아상,완제품,개,44,0,30,30,0,14,0,0.84,4.0992,21000.0
2021-01-23,토,뉴욕 치즈 케이크,완제품,개,0,15,10,10,0,0,5,0.0,0.0,0.0
2021-01-23,토,그린티 파우더,원재료,g,0,2300,300,300,0,0,2000,0.0,0.0,0.0
2021-01-23,토,모카/초콜릿 소스,원재료,mL,0,3920,600,600,0,0,3320,0.0,0.0,0.0
2021-01-23,토,에스프레소 원두,원재료,g,0,6996,2196,2196,0,0,4800,0.0,0.0,0.0
2021-01-23,토,우유,원재료,mL,0,30460,15500,15500,0,0,14960,0.0,0.0,0.0
2021-01-23,토,휘핑크림,원재료,g,0,380,200,200,0,0,180,0.0,0.0,0.0
2021-01-24,일,치킨 토마토 치즈 샌드위치,완제품,개,32,0,21,21,0,11,0,2.475,15.0975,33000.0
2021-01-24,일,단호박 에그 샌드위치,완제품,개,24,0,15,15,0,9,0,1.71,5.301,25200.0
2021-01-24,일,크루아상,완제품,개,44,0,28,28,0,16,0,0.96,4.6848,24000.0
2021-01-24,일,뉴욕 치즈 케이크,완제품,개,19,5,11,11,0,0,13,0.0,0.0,0.0
2021-01-24,일,그린티 파우더,원재료,g,0,2000,300,300,0,0,1700,0.0,0.0,0.0
2021-01-24,일,모카/초콜릿 소스,원재료,mL,0,3320,600,600,0,0,2720,0.0,0.0,0.0
2021-01-24,일,에스프레소 원두,원재료,g,6900,4800,2160,2160,0,0,9540,0.0,0.0,0.0
2021-01-24,일,우유,원재료,mL,28000,14960,15900,15900,0,0,27060,0.0,0.0,0.0
2021-01-24,일,휘핑크림,원재료,g,400,180,200,200,0,0,380,0.0,0.0,0.0
2021-01-25,월,치킨 토마토 치즈 샌드위치,완제품,개,32,0,16,16,0,16,0,3.6,21.96,48000.0
2021-01-25,월,단호박 에그 샌드위치,완제품,개,24,0,11,11,0,13,0,2.47,7.657,36400.0
2021-01-25,월,크루아상,완제품,개,44,0,20,20,0,24,0,1.44,7.0272,36000.0
2021-01-25,월,뉴욕 치즈 케이크,완제품,개,0,13,8,8,0,0,5,0.0,0.0,0.0
2021-01-25,월,그린티 파우더,원재료,g,0,1700,220,220,0,0,1480,0.0,0.0,0.0
2021-01-25,월,모카/초콜릿 소스,원재료,mL,0,2720,420,420,0,0,2300,0.0,0.0,0.0
2021-01-25,월,에스프레소 원두,원재료,g,0,9540,1548,1548,0,0,7992,0.0,0.0,0.0
2021-01-25,월,우유,원재료,mL,0,27060,11740,11740,0,0,15320,0.0,0.0,0.0
2021-01-25,월,휘핑크림,원재료,g,0,380,140,140,0,0,240,0.0,0.0,0.0
2021-01-26,화,치킨 토마토 치즈 샌드위치,완제품,개,32,0,15,15,0,17,0,3.825,23.3325,51000.0
2021-01-26,화,단호박 에그 샌드위치,완제품,개,24,0,12,12,0,12,0,2.28,7.068,33600.0
2021-01-26,화,크루아상,완제품,개,44,0,21,21,0,23,0,1.38,6.7344,34500.0
2021-01-26,화,뉴욕 치즈 케이크,완제품,개,19,5,8,8,0,0,16,0.0,0.0,0.0
2021-01-26,화,그린티 파우더,원재료,g,0,1480,240,240,0,0,1240,0.0,0.0,0.0
2021-01-26,화,모카/초콜릿 소스,원재료,mL,0,2300,480,480,0,0,1820,0.0,0.0,0.0
2021-01-26,화,에스프레소 원두,원재료,g,0,7992,1674,1674,0,0,6318,0.0,0.0,0.0
2021-01-26,화,우유,원재료,mL,27600,15320,12520,12520,0,0,30400,0.0,0.0,0.0
2021-01-26,화,휘핑크림,원재료,g,300,240,160,160,0,80,300,0.08,0.4896,560.0
2021-01-27,수,치킨 토마토 치즈 샌드위치,완제품,개,32,0,15,15,0,17,0,3.825,23.3325,51000.0
2021-01-27,수,단호박 에그 샌드위치,완제품,개,24,0,11,11,0,13,0,2.47,7.657,36400.0
2021-01-27,수,크루아상,완제품,개,44,0,21,21,0,23,0,1.38,6.7344,34500.0
2021-01-27,수,뉴욕 치즈 케이크,완제품,개,0,16,7,7,0,0,9,0.0,0.0,0.0
2021-01-27,수,그린티 파우더,원재료,g,0,1240,240,240,0,0,1000,0.0,0.0,0.0
2021-01-27,수,모카/초콜릿 소스,원재료,mL,0,1820,420,420,0,0,1400,0.0,0.0,0.0
2021-01-27,수,에스프레소 원두,원재료,g,0,6318,1512,1512,0,0,4806,0.0,0.0,0.0
2021-01-27,수,우유,원재료,mL,0,30400,11360,11360,0,0,19040,0.0,0.0,0.0
2021-01-27,수,휘핑크림,원재료,g,0,300,140,140,0,0,160,0.0,0.0,0.0
2021-01-28,목,치킨 토마토 치즈 샌드위치,완제품,개,32,0,14,14,0,18,0,4.05,24.705,54000.0
2021-01-28,목,단호박 에그 샌드위치,완제품,개,24,0,11,11,0,13,0,2.47,7.657,36400.0
2021-01-28,목,크루아상,완제품,개,44,0,20,20,0,24,0,1.44,7.0272,36000.0
2021-01-28,목,뉴욕 치즈 케이크,완제품,개,15,9,8,8,0,1,15,0.1,1.28,3500.0
2021-01-28,목,그린티 파우더,원재료,g,3500,1000,220,220,0,0,4280,0.0,0.0,0.0
2021-01-28,목,모카/초콜릿 소스,원재료,mL,3500,1400,450,450,0,0,4450,0.0,0.0,0.0
2021-01-28,목,에스프레소 원두,원재료,g,6900,4806,1548,1548,0,0,10158,0.0,0.0,0.0
2021-01-28,목,우유,원재료,mL,23900,19040,11720,11720,0,0,31220,0.0,0.0,0.0
2021-01-28,목,휘핑크림,원재료,g,400,160,150,150,0,10,400,0.01,0.0612,70.0
2021-01-29,금,치킨 토마토 치즈 샌드위치,완제품,개,21,0,21,21,0,0,0,0.0,0.0,0.0
2021-01-29,금,단호박 에그 샌드위치,완제품,개,17,0,15,15,0,2,0,0.38,1.178,5600.0
2021-01-29,금,크루아상,완제품,개,27,0,26,26,0,1,0,0.06,0.2928,1500.0
2021-01-29,금,뉴욕 치즈 케이크,완제품,개,0,15,10,10,0,0,5,0.0,0.0,0.0
2021-01-29,금,그린티 파우더,원재료,g,0,4280,300,300,0,0,3980,0.0,0.0,0.0
2021-01-29,금,모카/초콜릿 소스,원재료,mL,0,4450,570,570,0,0,3880,0.0,0.0,0.0
2021-01-29,금,에스프레소 원두,원재료,g,0,10158,2070,2070,0,0,8088,0.0,0.0,0.0
2021-01-29,금,우유,원재료,mL,0,31220,15720,15720,0,0,15500,0.0,0.0,0.0
2021-01-29,금,휘핑크림,원재료,g,0,400,190,190,0,0,210,0.0,0.0,0.0
